INFO:__main__:Reading the dataset: fish species
INFO:__main__:Pre-training the network: Masked Spectra Modelling
INFO:pre_training:Epoch [1/100], Loss: 0.5055, Val: 0.0240
INFO:pre_training:Epoch [2/100], Loss: 0.4472, Val: 0.0222
INFO:pre_training:Epoch [3/100], Loss: 0.4181, Val: 0.0207
INFO:pre_training:Epoch [4/100], Loss: 0.3996, Val: 0.0204
INFO:pre_training:Epoch [5/100], Loss: 0.3854, Val: 0.0192
INFO:pre_training:Epoch [6/100], Loss: 0.3649, Val: 0.0187
INFO:pre_training:Epoch [7/100], Loss: 0.3488, Val: 0.0181
INFO:pre_training:Epoch [8/100], Loss: 0.3289, Val: 0.0168
INFO:pre_training:Epoch [9/100], Loss: 0.3157, Val: 0.0171
INFO:pre_training:Epoch [10/100], Loss: 0.3090, Val: 0.0166
INFO:pre_training:Epoch [11/100], Loss: 0.2964, Val: 0.0160
INFO:pre_training:Epoch [12/100], Loss: 0.2900, Val: 0.0164
INFO:pre_training:Epoch [13/100], Loss: 0.2797, Val: 0.0155
INFO:pre_training:Epoch [14/100], Loss: 0.2731, Val: 0.0153
INFO:pre_training:Epoch [15/100], Loss: 0.2660, Val: 0.0150
