INFO:__main__:Reading the dataset: fish species
INFO:__main__:Pre-training the network: Masked Spectra Modelling
INFO:pre_training:Epoch [1/100], Loss: 0.1422, Val: 0.0079
INFO:pre_training:Epoch [2/100], Loss: 0.1323, Val: 0.0074
INFO:pre_training:Epoch [3/100], Loss: 0.1257, Val: 0.0070
INFO:pre_training:Epoch [4/100], Loss: 0.1213, Val: 0.0067
INFO:pre_training:Epoch [5/100], Loss: 0.1172, Val: 0.0064
INFO:pre_training:Epoch [6/100], Loss: 0.1133, Val: 0.0063
INFO:pre_training:Epoch [7/100], Loss: 0.1105, Val: 0.0060
INFO:pre_training:Epoch [8/100], Loss: 0.1074, Val: 0.0059
INFO:pre_training:Epoch [9/100], Loss: 0.1043, Val: 0.0057
INFO:pre_training:Epoch [10/100], Loss: 0.1017, Val: 0.0055
INFO:pre_training:Epoch [11/100], Loss: 0.0992, Val: 0.0053
INFO:pre_training:Epoch [12/100], Loss: 0.0968, Val: 0.0053
INFO:pre_training:Epoch [13/100], Loss: 0.0945, Val: 0.0050
INFO:pre_training:Epoch [14/100], Loss: 0.0927, Val: 0.0049
INFO:pre_training:Epoch [15/100], Loss: 0.0904, Val: 0.0048
INFO:pre_training:Epoch [16/100], Loss: 0.0882, Val: 0.0046
INFO:pre_training:Epoch [17/100], Loss: 0.0864, Val: 0.0045
INFO:pre_training:Epoch [18/100], Loss: 0.0852, Val: 0.0045
INFO:pre_training:Epoch [19/100], Loss: 0.0828, Val: 0.0044
INFO:pre_training:Epoch [20/100], Loss: 0.0817, Val: 0.0043
INFO:pre_training:Epoch [21/100], Loss: 0.0796, Val: 0.0041
INFO:pre_training:Epoch [22/100], Loss: 0.0783, Val: 0.0040
INFO:pre_training:Epoch [23/100], Loss: 0.0766, Val: 0.0039
INFO:pre_training:Epoch [24/100], Loss: 0.0755, Val: 0.0038
INFO:pre_training:Epoch [25/100], Loss: 0.0736, Val: 0.0038
INFO:pre_training:Epoch [26/100], Loss: 0.0724, Val: 0.0038
INFO:pre_training:Epoch [27/100], Loss: 0.0714, Val: 0.0037
INFO:pre_training:Epoch [28/100], Loss: 0.0700, Val: 0.0035
INFO:pre_training:Epoch [29/100], Loss: 0.0688, Val: 0.0035
INFO:pre_training:Epoch [30/100], Loss: 0.0675, Val: 0.0035
INFO:pre_training:Epoch [31/100], Loss: 0.0665, Val: 0.0034
INFO:pre_training:Epoch [32/100], Loss: 0.0655, Val: 0.0033
INFO:pre_training:Epoch [33/100], Loss: 0.0642, Val: 0.0033
INFO:pre_training:Epoch [34/100], Loss: 0.0636, Val: 0.0032
INFO:pre_training:Epoch [35/100], Loss: 0.0626, Val: 0.0033
INFO:pre_training:Epoch [36/100], Loss: 0.0615, Val: 0.0032
INFO:pre_training:Epoch [37/100], Loss: 0.0606, Val: 0.0032
INFO:pre_training:Epoch [38/100], Loss: 0.0597, Val: 0.0032
INFO:pre_training:Epoch [39/100], Loss: 0.0589, Val: 0.0031
INFO:pre_training:Epoch [40/100], Loss: 0.0581, Val: 0.0031
INFO:pre_training:Epoch [41/100], Loss: 0.0573, Val: 0.0031
INFO:pre_training:Epoch [42/100], Loss: 0.0564, Val: 0.0030
INFO:pre_training:Epoch [43/100], Loss: 0.0559, Val: 0.0030
INFO:pre_training:Epoch [44/100], Loss: 0.0549, Val: 0.0030
INFO:pre_training:Epoch [45/100], Loss: 0.0543, Val: 0.0029
INFO:pre_training:Epoch [46/100], Loss: 0.0533, Val: 0.0030
INFO:pre_training:Epoch [47/100], Loss: 0.0525, Val: 0.0029
INFO:pre_training:Epoch [48/100], Loss: 0.0522, Val: 0.0029
INFO:pre_training:Epoch [49/100], Loss: 0.0513, Val: 0.0029
INFO:pre_training:Epoch [50/100], Loss: 0.0507, Val: 0.0028
INFO:pre_training:Epoch [51/100], Loss: 0.0502, Val: 0.0028
INFO:pre_training:Epoch [52/100], Loss: 0.0495, Val: 0.0028
INFO:pre_training:Epoch [53/100], Loss: 0.0488, Val: 0.0028
INFO:pre_training:Epoch [54/100], Loss: 0.0483, Val: 0.0027
INFO:pre_training:Epoch [55/100], Loss: 0.0477, Val: 0.0027
INFO:pre_training:Epoch [56/100], Loss: 0.0468, Val: 0.0027
INFO:pre_training:Epoch [57/100], Loss: 0.0465, Val: 0.0027
INFO:pre_training:Epoch [58/100], Loss: 0.0460, Val: 0.0027
INFO:pre_training:Epoch [59/100], Loss: 0.0455, Val: 0.0027
INFO:pre_training:Epoch [60/100], Loss: 0.0448, Val: 0.0026
INFO:pre_training:Epoch [61/100], Loss: 0.0444, Val: 0.0026
INFO:pre_training:Epoch [62/100], Loss: 0.0437, Val: 0.0026
INFO:pre_training:Epoch [63/100], Loss: 0.0433, Val: 0.0026
INFO:pre_training:Epoch [64/100], Loss: 0.0429, Val: 0.0026
INFO:pre_training:Epoch [65/100], Loss: 0.0424, Val: 0.0026
INFO:pre_training:Epoch [66/100], Loss: 0.0418, Val: 0.0026
INFO:pre_training:Epoch [67/100], Loss: 0.0414, Val: 0.0025
INFO:pre_training:Epoch [68/100], Loss: 0.0409, Val: 0.0025
